Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002715;;75019;9;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagements  cyclables;Boulevard de la Villette entre Jean Jaurès et Faubourg Saint Martin;;2025-01-13;2025-02-03;RESTREINTE;Déviation des cyclistes venant de Lafayette dans la circulation général;2;1;;"{""coordinates"": [[[2.3737349467453543, 48.883812203351575], [2.373764479675411, 48.883726429823376], [2.370870029088026, 48.883015780990426], [2.370827921770169, 48.88313102442922], [2.37084821312227, 48.88313650184674], [2.3708238502504204, 48.88313100303285], [2.3737349467453543, 48.883812203351575]]], ""type"": ""Polygon""}";48.883403910047754, 2.3722255707302615
CP000139;;75013;14;3;SEMAPA;REAMENAGEMENT_SECTEUR;;Secteur quai d'Ivry;;2012-01-01;2024-12-20;RESTREINTE;Réduction de la circulation selon les phases;2;4;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Plaquette d'info riv opé SEG11 BEC Bruneseau - 13ème.pdf;"{""coordinates"": [[[2.386040410939928, 48.82726045950963], [2.389009733862189, 48.82510049591564], [2.381913601308459, 48.82268480304111], [2.3797250134650096, 48.824789551026136], [2.382560534273686, 48.82574947645586], [2.386040410939928, 48.82726045950963]]], ""type"": ""Polygon""}";48.824945580960076, 2.384284439827768
CP002676;;75015;13;2;C.P.C.U;TRAVAUX_URGENCE;;60 rue Lecourbe;;2024-10-07;2024-12-20;RESTREINTE;"Emprise sur chaussée avec réduction de voirie.
Passage piéton fermé durant la durée des travaux et déviation piétonne mise en place.";2;2;;"{""coordinates"": [[[2.30654439461745, 48.843811213666804], [2.3065768780977405, 48.84381610114423], [2.3065674926063813, 48.84383350163562], [2.3068187644368607, 48.84390679110319], [2.306857992099712, 48.84386338116488], [2.306563041911818, 48.8437858112424], [2.3065568231695277, 48.84379450264244], [2.30654439461745, 48.843811213666804]]], ""type"": ""Polygon""}";48.84384703195849, 2.3067034136171336
CP002728;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement des abords de Gare du Nord;rue de Valenciennes;du 7 au 15;2025-04-14;2025-05-06;RESTREINTE;;2;1;;"{""coordinates"": [[[2.3554287196430463, 48.878169253140285], [2.3550251208702284, 48.878214071340714], [2.3545766917721127, 48.87826267370818], [2.3544975251001286, 48.87824479260284], [2.3544319251308905, 48.87828203279961], [2.354504852020841, 48.878310621040605], [2.3554444046285794, 48.878217672260206], [2.3554287196430463, 48.878169253140285]]], ""type"": ""Polygon""}";48.87824291245638, 2.354950539060817
CP002113;423774;75007;12;3;SAS 40 rue des Sts Pères;REHABILITATION_IMMEUBLE;;40 rue des Sts-Pères;juste avant le bd St Germain;2021-07-12;2025-05-15;RESTREINTE;Maintien d'une file de circulation.;2;4;;"{""coordinates"": [[[2.3305087410876553, 48.854703841223184], [2.330597271667162, 48.85489583072162], [2.33065580837902, 48.85488368952832], [2.3305742479978915, 48.85468380316091], [2.3305087410876553, 48.854703841223184]]], ""type"": ""Polygon""}";48.85478929337244, 2.3305830937444014
CP002476;810335;75016;13;1;RIVP;CONSTRUCTION_IMMEUBLE;Démolition et construction d'un immeuble;Rue du Docteur Blanche;Entre la rue Henri Heine et la rue l'Yvette;2023-03-27;2026-07-06;SENS_UNIQUE;Mise à sens unique de la rue du Docteur Blanche de la rue Henri Heine à la rue l'Yvette;2;2;;"{""coordinates"": [[[2.2648918367875766, 48.85302756673262], [2.2647940376200824, 48.85304038613571], [2.265029036597828, 48.853393454553206], [2.2650001497441274, 48.853422802281955], [2.2653026287123583, 48.85389438693988], [2.2654659198395364, 48.85385244312589], [2.265366586732197, 48.853685415332926], [2.2653098739999864, 48.85366896224454], [2.2648918367875766, 48.85302756673262]]], ""type"": ""Polygon""}";48.85351124901634, 2.265144855721094
CP002644;;75014;12;3;RATP;CREATION_ENTRETIEN_OUVRAGE_ART;Création d'une sortie de métro piétonne.;Rue Niepce;;2024-03-01;2026-07-31;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.3178901491779564, 48.835308001945826], [2.3189344561423457, 48.83446000732315], [2.318745808937063, 48.83457708891329], [2.3189674159672196, 48.83442797048929], [2.3188705700426113, 48.834368341057065], [2.3177773129762183, 48.835226797195716], [2.3178901491779564, 48.835308001945826]]], ""type"": ""Polygon""}";48.83484937402215, 2.3183568054757377
CP002647;;75015;13;3;ENEDIS;ENTRETIEN_RESEAU;Travaux HTA sur réseau.;Avenue Ernest Renan angle rue d'Oradour sur Glane;;2024-09-16;2024-11-29;RESTREINTE;Travaux en demi chaussée et sur trottoir avec maintient du cheminement piéton.;2;2;;"{""coordinates"": [[[2.2853475627534983, 48.83096318770699], [2.285498893784224, 48.830902327957205], [2.285502961187371, 48.830902352256246], [2.2855110959935767, 48.830902400853965], [2.2849429668567747, 48.83050962490061], [2.2840147506001944, 48.83086659865929], [2.2841873150449867, 48.83103681009567], [2.2849525894448575, 48.83069765888342], [2.2853475627534983, 48.83096318770699]]], ""type"": ""Polygon""}";48.83077560224916, 2.2847224385561113
CP002680;;75015;12;3;R.A.T.P;TRAVAUX_OUVRAGE;Travaux de réfaction et d'agrandissement du réseaux de ventilation RATP.;42 boulevard du Montparnasse.;du 42 au 48 angle rue d'Alençon.;2024-10-07;2026-02-16;RESTREINTE;Fermeture du couloir de BUS RATP et renvoie des BUS dans la circulation générale. Réduction de la largeur du trottoir du 42 au 44.;2;2;;"{""coordinates"": [[[2.320606522927883, 48.84489093261104], [2.321090737865782, 48.84473054679169], [2.3210658001525717, 48.844692810964936], [2.3208093891972212, 48.844777957056245], [2.320811379697762, 48.844781325681645], [2.320788416547717, 48.84474829928414], [2.3205524409300247, 48.84482617706741], [2.320606522927883, 48.84489093261104]]], ""type"": ""Polygon""}";48.8447949508643, 2.3207923341848087
CP002691;;75014;12;1;S.T.V;REAMENAGEMENT_SECTEUR;Végétalisation de la rue Delambre.;Rue Delambre;Depuis le boulevard Raspail au square Delambre.;2025-01-06;2025-03-03;BARRAGE_TOTAL;Fermeture totale du tronçon depuis le square Delambre au boulevard Raspail. Mise en place d'une déviation et maintient des livraisons pour les magasins.;1;1;;"{""coordinates"": [[[2.327277175586346, 48.841633381565885], [2.3292711159414616, 48.84191311229991], [2.3293412746686784, 48.84183563051346], [2.3273107239829534, 48.841555695049784], [2.327277175586346, 48.841633381565885]]], ""type"": ""Polygon""}";48.841735690657124, 2.328309808047438
CP002703;;75010;11;1;;REAMENAGEMENT_VOIRIE;Sécurisation de création d'un ilot central pour les piétons;Faubourg Saint Martin;De la Sibour jusqu'à la la Rue Saint Laurent;2024-11-12;2024-12-09;RESTREINTE;Reduction de nombre de voies de circulations.;2;2;;"{""coordinates"": [[[2.3587505756758156, 48.87437547462226], [2.35869135299833, 48.87439126896236], [2.359007097249906, 48.874866908334575], [2.3590806331317062, 48.87484581964541], [2.3590745268309763, 48.87484578695135], [2.3590684205302543, 48.87484575425699], [2.3587505756758156, 48.87437547462226]]], ""type"": ""Polygon""}";48.87462382590562, 2.3588820370833816
CP002717;;75004;11;2;FRAICHEUR DE PARIS;RACCORDEMENT_RESEAU;;Pont au Change;"Du Quai de la Mégisserie jusqu'au Pont
au Change";2025-01-06;2025-01-31;;Réduction de nombre des voies et renvois de la circulation général sur la voie de bus.;1;1;;"{""coordinates"": [[[2.346825472897733, 48.857545190252836], [2.3469095838844574, 48.85732814039958], [2.346909752168777, 48.85731471490576], [2.346207449568669, 48.8575015360042], [2.3462196243936693, 48.857504287983694], [2.3461130813072355, 48.85756278240869], [2.3461171508186416, 48.85756280464588], [2.346825472897733, 48.857545190252836]]], ""type"": ""Polygon""}";48.85747159193341, 2.346592073144148
CP002723;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement des abords de Gare du Nord;rue de Dunkerque;du n°25 au 31;2025-02-10;2025-06-06;RESTREINTE;"Circulation restreinte
Reduction de la largeur de la voie et du trottoir impair. Contresens cyclable maintenu.";2;1;;"{""coordinates"": [[[2.3545565871009146, 48.87980273103191], [2.3536756032230848, 48.880094697390184], [2.3534444064216147, 48.88018877548703], [2.3525703331922796, 48.88041498218547], [2.352594142113285, 48.88046478822619], [2.353559347963645, 48.88027666644886], [2.3546237479613463, 48.87996823564009], [2.3545565871009146, 48.87980273103191]]], ""type"": ""Polygon""}";48.88013085922085, 2.353775419687256
CP002670;;75020;10;1;S.A.G.P;REAMENAGEMENT_VOIRIE;Végétalisation des rues.;rue Paganini - rue Schubert;;2024-10-01;2025-01-31;RESTREINTE;;2;2;;"{""coordinates"": [[[2.4111871971088936, 48.85121520640693], [2.4111258621165996, 48.85124175825165], [2.411141530065947, 48.851295540961], [2.4116944332366548, 48.85133854000611], [2.4116950395316272, 48.85128483739409], [2.411390181984455, 48.85125648525257], [2.411349069603288, 48.85129387673286], [2.411251510268534, 48.85128534124165], [2.4111871971088936, 48.85121520640693]]], ""type"": ""Polygon""}";48.85128978864833, 2.4114239862239404
CP002678;;75001;11;2;FRAICHEUR DE PARIS;ENTRETIEN_RESEAU;;rue Richelieu-rue Montpensier-place André Malraux;;2024-11-04;2024-12-20;RESTREINTE;maintient du contre sens cyclable entre la rue Richelieu et le Bld de l'Opera. Réduction de voirie rue Richelieu et rue de Montpensier.;1;2;;"{""coordinates"": [[[[2.335838400266877, 48.86388357146064], [2.3358979528745145, 48.86386888733898], [2.3357691653326147, 48.86364755293337], [2.33567517599786, 48.863677240310174], [2.335743676542661, 48.86381121402028], [2.335622360074301, 48.86390922504451], [2.33530001201233, 48.863893336992525], [2.3352852202050616, 48.86393621933415], [2.3353648173223984, 48.8639977522291], [2.335838400266877, 48.86388357146064]]], [[[2.335901987933342, 48.86387582120979], [2.3359710664864877, 48.864092417348665], [2.3360011624313906, 48.86404626258055], [2.335901987933342, 48.86387582120979]]], [[[2.3358979528745145, 48.86386888733898], [2.335901987933342, 48.86387582120979], [2.3358996430100882, 48.86386847042717], [2.3358979528745145, 48.86386888733898]]]], ""type"": ""MultiPolygon""}";48.86386594301921, 2.335663097818159
CP002693;;75007;12;2;Fraicheur de PARIS;ENTRETIEN_RESEAU;;Boulevard des invalides (du 42 au48);;2024-10-21;2024-12-20;RESTREINTE;Mise en inversion de sens de la rue Oudinot depuis la rue Monsieur jusqu'à la rue Rousselet(21/10 au 03/11), fermeture de la rue Oudinot depuis la rue Monsieur jusqu'au bld des Invalides(04/11 au 26/11);2;2;;"{""coordinates"": [[[2.315078870571367, 48.8498085202694], [2.315245497939225, 48.849514088121474], [2.317596862078717, 48.8501720001848], [2.317679008553422, 48.850113391540035], [2.315327365156117, 48.84947696157367], [2.315453726260416, 48.84915007453347], [2.315185975413442, 48.84908946507459], [2.3148191839482406, 48.84975332628701], [2.315078870571367, 48.8498085202694]]], ""type"": ""Polygon""}";48.8496186191537, 2.3157586104502643
CP002694;;75004;11;1;S.T.V;REFECTION_CHAUSSEE;Réfection du tapis de roulement.;boulevard Bourdon;Du 41 au 1;2024-10-28;2024-12-13;RESTREINTE;Rabotage de la chaussée avec réduction de la vitesse sur tout le bd Bourdon. Réfection du tapis le 29/11/2024.;2;2;;"{""coordinates"": [[[2.36812635271719, 48.85277231705161], [2.3685764389376245, 48.852903587392944], [2.368121600776719, 48.85249302039493], [2.365937545908523, 48.847723091742274], [2.365676231093594, 48.847463915709895], [2.3655856130543724, 48.84755473617671], [2.3658233989485264, 48.84774128420244], [2.365837908115508, 48.847886368038445], [2.36812635271719, 48.85277231705161]]], ""type"": ""Polygon""}";48.85015059486678, 2.36697983047449
CP002724;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement des abord de Gare du Nord;rue de Compiègne;du n°1 à 3;2025-02-10;2025-06-06;BARRAGE_TOTAL;Barrage totale de la rue de Compiègne, accès au parking conservé;2;1;;"{""coordinates"": [[[2.353215621972441, 48.87959678549954], [2.353290385598802, 48.8796414959018], [2.3535646357611113, 48.8801786831209], [2.3537302614708904, 48.880119159308585], [2.3536075093515216, 48.879840574225696], [2.353358238471484, 48.87942301527593], [2.3532136210663364, 48.87959408928294], [2.353215621972441, 48.87959678549954]]], ""type"": ""Polygon""}";48.87981689595886, 2.3534805764754285
CP002727;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement du secteur Gare du Nord;rue de Saint Quentin;du n°11 au 13;2025-03-31;2025-04-14;RESTREINTE;;2;1;;"{""coordinates"": [[[2.3551607343940026, 48.877454204873416], [2.3551525769949384, 48.87745550363814], [2.3552518958788933, 48.8774896044333], [2.3554369034294877, 48.87816594089175], [2.355553156258444, 48.87814776979831], [2.355401312650923, 48.87742327739286], [2.355245566707303, 48.877343223528364], [2.3551607343940026, 48.877454204873416]]], ""type"": ""Polygon""}";48.87773281266921, 2.355386040308622
CP002414;729663;75014;12;2;RATP;TRAVAUX_OUVRAGE;Création d'une nouvelle sortie;av. de l'Observatoire;"av; de l'Observatoire angle Henri Barbusse";2022-11-28;2024-12-30;RESTREINTE;Neutralisation Piste cyclable;2;2;;"{""coordinates"": [[[2.3369469747875966, 48.83893101034745], [2.337005012780436, 48.838902777141215], [2.3368497858624178, 48.83877817818424], [2.3367559293691897, 48.83878836568384], [2.336725198789989, 48.838795334465104], [2.3367489948365203, 48.83919166628413], [2.336853559330189, 48.839189866288386], [2.336836852180698, 48.83894467733307], [2.3369469899230135, 48.83892982056896], [2.3369469747875966, 48.83893101034745]]], ""type"": ""Polygon""}";48.838956421787096, 2.3368184693775307
CP002707;;75013;13;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Création d'une piste cyclable.;rue de  Rungis.;du 02 au 34 rue de Rungis.;2024-12-02;2024-12-12;BARRAGE_TOTAL;travaux de rabotage et de pose d'un tapis neuf 3 jours de fermeture;2;1;;"{""coordinates"": [[[2.3462582396540297, 48.8222026696471], [2.346352678395535, 48.82213068063644], [2.3462839854582374, 48.822095395709894], [2.3431638511463553, 48.82152242247393], [2.343138335995296, 48.821610900049], [2.3462582396540297, 48.8222026696471]]], ""type"": ""Polygon""}";48.821870287428844, 2.3447784520897517
CP002721;;75002;11;2;RATP;TRAVAUX_OUVRAGE;Travaux d'étanchéité sur la station métro sentier;Rue Réaumur;Numéros 95;2025-01-13;2025-04-17;RESTREINTE;Réduction des nombre des voies de circulation;2;1;;"{""coordinates"": [[[2.3460235790591892, 48.867590279251274], [2.345905345037046, 48.867605744888984], [2.3459170488413386, 48.86764608771594], [2.3462962050575475, 48.86759713944465], [2.3462726270685264, 48.8675298783212], [2.3460074340814794, 48.86757945018255], [2.3460235790591892, 48.867590279251274]]], ""type"": ""Polygon""}";48.867591195361534, 2.3461161657432594
CP002520;821159;75018;10;2;CPCU;ENTRETIEN_RESEAU;Fuite réseau chauffage urbain;rue Marc Seguin;Au n° 5;2023-07-17;2025-03-21;RESTREINTE;Voie restante à la circulation: 4 ml;2;2;;"{""coordinates"": [[[2.365157111368538, 48.89170504927307], [2.3647127868696978, 48.89174409579327], [2.3647106400047972, 48.89174265628119], [2.3647209358129233, 48.891786017722666], [2.365129201481447, 48.89174487613769], [2.365157111368538, 48.89170504927307]]], ""type"": ""Polygon""}";48.891745198160194, 2.3649247193591507
CP002709;;;13;2;CPCU;RACCORDEMENT_RESEAU;;128 Longchamp;;2024-12-02;2025-05-30;RESTREINTE;;2;1;;"{""coordinates"": [[[2.2789492154385695, 48.866968398617416], [2.279063546272679, 48.86694223455877], [2.2789868852567485, 48.86689343719477], [2.278827859221192, 48.866913961857676], [2.2789245724998772, 48.86698436200805], [2.2789492154385695, 48.866968398617416]]], ""type"": ""Polygon""}";48.86693302802301, 2.2789452976637463
CP002665;;75010;11;1;STV;REAMENAGEMENT_SECTEUR;Création de jardinières et marquage pour piste cyclable.;rue de Maubeuge;;2024-09-16;2024-12-20;RESTREINTE;Réduction de voirie avec remise en circulation dans le couloir de bus.;2;4;;"{""coordinates"": [[[2.3520169628048793, 48.88050641547057], [2.3521162707304657, 48.880378060704096], [2.3498122273791027, 48.879699629429275], [2.3496971665147943, 48.879784932106695], [2.3520169628048793, 48.88050641547057]]], ""type"": ""Polygon""}";48.88010846615958, 2.350963437051444
CP002669;;75010;11;1;R.I.V.P;REHABILITATION_IMMEUBLE;;du 23 au 27 rue Saint-Quentin;;2024-10-01;2026-06-30;RESTREINTE;emprises sur voirie, réduction de voie.;2;2;;"{""coordinates"": [[[2.35564791882072, 48.87881311365022], [2.3556830373390514, 48.87877168154402], [2.355605406727897, 48.87846514515848], [2.3555303603735296, 48.87844325970798], [2.355643832396942, 48.87881443435933], [2.35564791882072, 48.87881311365022]]], ""type"": ""Polygon""}";48.87861607788131, 2.3556125113066106
CP002672;;75020;10;1;S.A.G.P;REAMENAGEMENT_VOIRIE;Travaux en demi chaussée et végétalisation du quartier.;rue Paganini- rue Schubert;;2024-10-01;2025-01-31;RESTREINTE;;2;2;;"{""coordinates"": [[[2.4120741346078964, 48.851224938794296], [2.4125394918606045, 48.851092959643864], [2.4125936262146195, 48.85098312786101], [2.412115581002067, 48.85115801044791], [2.4120741346078964, 48.851224938794296]]], ""type"": ""Polygon""}";48.85110815130987, 2.4123515279675107
CP002679;;75001;11;2;FRAICHEUR DE PARIS;ENTRETIEN_RESEAU;;rue Montpensier- rue Richelieu;Travaux en 3 phase en demi-chaussée coté pair et impair avec hommes aide a la manœuvre pour les entrées et sorties du conseil constitutionnel.;2025-01-06;2025-01-31;RESTREINTE;;1;1;;"{""coordinates"": [[[[2.3359407638370593, 48.86382552275726], [2.3358313404097704, 48.863639170733066], [2.3357701407187688, 48.863650914709865], [2.3359185726426714, 48.86390012814947], [2.3362369545414077, 48.86382804901281], [2.3363455199096212, 48.8640119217633], [2.3364107984619586, 48.86399952829869], [2.336280721604027, 48.86374706183901], [2.3359407638370593, 48.86382552275726]], [[2.3359398710871004, 48.86382572915018], [2.3359407638370593, 48.86382552275726], [2.3359408879046897, 48.86382573479218], [2.3359398710871004, 48.86382572915018]]]], ""type"": ""MultiPolygon""}";48.86382733078258, 2.336104149988749
CP002705;;75019;9;2;C.P.C.U;CREATION_RESEAUX;Création du réseau eau chaude.;rue Maryse Hilsz;depuis la rue de Lagny jusqu'à la rue Paganini.;2024-11-12;2025-01-17;RESTREINTE;;2;2;;"{""coordinates"": [[[2.4127863531033085, 48.851074279615624], [2.4132234407722013, 48.84911615445884], [2.4129795045172404, 48.84909884597569], [2.4125830348624278, 48.85106254065702], [2.4127863531033085, 48.851074279615624]]], ""type"": ""Polygon""}";48.85005782385141, 2.412899459671164
CP002698;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;;81 - 83 boulevard de Strasbourg;Report du terminus RATP.;2024-11-17;2025-11-14;RESTREINTE;;;2;;"{""coordinates"": [[[2.3576288525738427, 48.87571853853108], [2.3576624688576153, 48.87571603350194], [2.3576046034687477, 48.87553916730126], [2.3575719891477216, 48.875543020398716], [2.3575760504195533, 48.875543713997494], [2.3576288525738427, 48.87571853853108]]], ""type"": ""Polygon""}";48.87563107014458, 2.3576185481744227
CP002436;;;;;;;;;;;;;;;2;;"{""coordinates"": [[[2.255848205600326, 48.923135281342184], [2.2614798719419316, 48.92302742539865], [2.265159882839182, 48.92305005072622], [2.2651624226884044, 48.92287020520833], [2.2614798059169083, 48.922847563815395], [2.26147456096545, 48.92284759803639], [2.25584028770509, 48.92295550398602], [2.255848205600326, 48.923135281342184]]], ""type"": ""Polygon""}";48.92297457567503, 2.2605022793462584
CP002668;;75020;10;1;S.A.G.P;REAMENAGEMENT_VOIRIE;Création de jardinières et élargissement du trottoir.;rue des Orteaux.;du 42 des Orteaux au CF rue des Pyrénées;2024-10-07;2024-12-20;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.4025507306724463, 48.85654954169328], [2.404729313340054, 48.85624622044647], [2.4048019455792975, 48.85630028713122], [2.404862435812594, 48.85617035179478], [2.4047769833069412, 48.85616992676441], [2.4046416781786477, 48.856080639204464], [2.404604779985394, 48.85610462286575], [2.4046974201910127, 48.8561883282198], [2.4030101938741186, 48.856405486829104], [2.402909232493083, 48.85633785045123], [2.402864271365415, 48.85635508061766], [2.4029019450149938, 48.85644119759818], [2.4025310467477135, 48.856491709851554], [2.4025507306724463, 48.85654954169328]]], ""type"": ""Polygon""}";48.85634687462239, 2.4037171595760487
CP002674;;75014;12;3;R.A.T.P;ENTRETIEN_RESEAU;fermeture.;rue Froidevaux.;Piste cyclable.;2024-09-16;2024-11-28;BARRAGE_TOTAL;Fermeture totale de la piste cyclable pour travaux.;1;3;;"{""coordinates"": [[[2.3231661576060287, 48.83757658587311], [2.327615348553635, 48.83609250857949], [2.327579293696639, 48.83604934028973], [2.3231749908236963, 48.8375229291164], [2.3231661576060287, 48.83757658587311]]], ""type"": ""Polygon""}";48.83679989264067, 2.32541535424261
CP002682;;75015;13;3;MACON DE FRANCE;REHABILITATION_IMMEUBLE;;rue Paul Barruel Paris 15;Du n ° 10 au  16;2024-10-21;2026-10-31;RESTREINTE;fermeture du trottoir coté pair du 10 au 16 rue Paul Barruel et renvoie des piétons coté impair. Réduction de la voirie pendant toute la durée des travaux.;2;2;;"{""coordinates"": [[[2.304594709199898, 48.839767887546316], [2.304803116222228, 48.83939314897739], [2.3048163576920717, 48.83931535041076], [2.304743388636326, 48.83929612859435], [2.3044770276648134, 48.8397457201211], [2.304594709199898, 48.839767887546316]]], ""type"": ""Polygon""}";48.83954177580066, 2.304658267792856
CP002706;;75013;14;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Création d'une piste cyclable.;rue de l'Amiral Mouchez. PARIS-13;du 99 au 71 rue de l'Amiral Mouchez.;2024-11-12;2024-12-12;BARRAGE_TOTAL;fermeture ponctuel de la rue de l'Amiral Mouchez le temps des travaux.;1;2;;"{""coordinates"": [[[2.342933961028342, 48.82153190077086], [2.3428066778763954, 48.821305628604094], [2.3437755495893247, 48.820580523879265], [2.3446667119183346, 48.819564962444254], [2.3445699303634595, 48.81949998228857], [2.3438099722664734, 48.82043033088433], [2.3426442910291674, 48.82128325341571], [2.342933961028342, 48.82153190077086]]], ""type"": ""Polygon""}";48.82053971916495, 2.3436433640214376
CP002663;;75005;12;2;CPCU;ENTRETIEN_RESEAU;;place Valhubert;angle quai d'Austerlitz, pont d'Austerlitz;2024-09-16;2025-04-30;RESTREINTE;;2;2;;"{""coordinates"": [[[2.3652051804283865, 48.84434745466345], [2.3652070218504044, 48.844029252880986], [2.364975182189848, 48.84402399422843], [2.364986197794145, 48.844288558086085], [2.364986148726116, 48.84429258515942], [2.364990266276986, 48.8442885796817], [2.3652051804283865, 48.84434745466345]]], ""type"": ""Polygon""}";48.84417111487661, 2.3650970077303937
CP002684;;75010;11;1;SAGP . DST;REAMENAGEMENT_SECTEUR;Fermeture de la rue au véhicules.;Rue Vicq d'Azir;du 16 au 20;2024-10-14;2024-12-06;BARRAGE_TOTAL;Rue déjà fermée;2;2;;"{""coordinates"": [[[2.370404964066231, 48.876179117464346], [2.371080770081746, 48.876177299954215], [2.371094020538808, 48.87609144094493], [2.3704059702589904, 48.87609588043719], [2.370404964066231, 48.876179117464346]]], ""type"": ""Polygon""}";48.87613580251372, 2.3707481669408694
CP002725;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement des abords de Gare du Nord;rue de Saint-Quentin;entre les n°2 et 12;2024-11-25;2025-02-23;RESTREINTE;;2;2;;"{""coordinates"": [[[2.3554419919184153, 48.87717913927472], [2.355409890147314, 48.87714137245953], [2.3552488187515963, 48.8773271303737], [2.355248752278509, 48.8773324999392], [2.355240477199636, 48.877343196116726], [2.3553902009742336, 48.877416504932015], [2.355552303919614, 48.87813433906247], [2.3556661888883994, 48.878143007407424], [2.3554311663069547, 48.87723144291658], [2.3554419919184153, 48.87717913927472]]], ""type"": ""Polygon""}";48.87763333243028, 2.355476763048588
CP000753;;75013;14;2;SNCF;TRAVAUX_OUVRAGE;Couverture des voies SNCF;Av de France;côté voies SNCF entre rue Julie Daubié et rue Nicole Rein-Lepaute.;2018-07-23;2024-11-30;RESTREINTE;Les deux sens de circulations sont reportés côté pair de l'avenue.;2;4;;"{""coordinates"": [[[2.379871709032515, 48.82714237090668], [2.3811746477660307, 48.82571180087148], [2.3804182115733226, 48.82548285012793], [2.3786689133943018, 48.82665533943943], [2.379871709032515, 48.82714237090668]]], ""type"": ""Polygon""}";48.82630766425324, 2.3799694728731717
CP001421;;75016;13;3;Maison de la Radio;REHABILITATION_IMMEUBLE;installation de la base vie;Rue  Boullainvilliers;du n°2 au n°10;2019-07-01;2024-12-31;RESTREINTE;Modification des files de circulation .;2;2;;"{""coordinates"": [[[2.2780879687731894, 48.85165200691028], [2.278005620021255, 48.85160986774178], [2.276937983388899, 48.852153100104196], [2.277031015931084, 48.852204823391524], [2.2772035373126718, 48.85224512825188], [2.2772770162585245, 48.85214682034601], [2.2773646538731667, 48.85206763380218], [2.2774974768795366, 48.85198039195424], [2.277631837054627, 48.851912196037745], [2.2778039222536837, 48.8518537456313], [2.2779865439626774, 48.85181558521849], [2.2779745338979853, 48.851771490754125], [2.2780323708879635, 48.85176113104939], [2.2781821795556927, 48.85174894738235], [2.2780879687731894, 48.85165200691028]]], ""type"": ""Polygon""}";48.851920958050805, 2.277550787213821
CP002371;657955;75012;14;2;RATP;TRAVAUX_OUVRAGE;Travaux relatifs à la modernisation de la ligne 6- - Création d'ouvrage en sous-oeuvre;Place de la Nation;Entre avenue du Bel Air et avenue du Trône;2022-07-18;2025-11-28;RESTREINTE;;2;4;;"{""coordinates"": [[[2.39718197466874, 48.84798095976355], [2.3973323649379124, 48.847915090566765], [2.397254174864216, 48.84782600596514], [2.3971559410265293, 48.84773811448033], [2.396988410662728, 48.84759651586232], [2.3968185718801727, 48.84751245144689], [2.3967071568521323, 48.847574043170916], [2.396595364865238, 48.84773171990901], [2.3968357600903647, 48.84783287283599], [2.396939349356215, 48.84776081894162], [2.3969857497871954, 48.84780150487328], [2.397081826383517, 48.84775558779629], [2.3972067576333225, 48.84786448696595], [2.3971068290793753, 48.847931800149304], [2.39718197466874, 48.84798095976355]]], ""type"": ""Polygon""}";48.847721304519226, 2.396928147068433
CP002512;811445;75015;13;3;TS DIAMOND SCI;REHABILITATION_IMMEUBLE;Réhabilitation de la Tour Cristal;Quai André Citroën;Au niveau du 5 - 11 Quai André Citroën et du 1 - 5 rue de l'ingénieur Keller;2023-06-12;2025-12-31;RESTREINTE;Traversée piétonne obligatoire et provisoire au 1 rue de l'ingénieur Keller et dévié au 13 quai André Citroën car fermé au n°11.;2;2;;"{""coordinates"": [[[2.281629017580763, 48.848167721158354], [2.2809547819492324, 48.848428993424186], [2.280955960900329, 48.84847421247658], [2.2813863093462023, 48.848773055081715], [2.281435374632081, 48.84874479495245], [2.281112215455314, 48.848516793846976], [2.2811186070266922, 48.84844544517538], [2.281649960204181, 48.84821781831717], [2.281629017580763, 48.848167721158354]]], ""type"": ""Polygon""}";48.84843637487578, 2.2812529587641186
